dataset,model,regime,seq_len,stride,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,vgru,reservoir,8,4,B3,500.0,,,0.5,,,,0.0001638454760899,-0.0001813385588762,-0.0001638454760899,0.6961763406132069,0.6968426950462514,0.7682160067486172,5,10,10,0.7494,0.7377,0.6329,0.767,0.5939,0.7487,0.7328,0.6406,0.7682,0.5939,1.4771632283632395e-06,0.000621382989725,0.0002824474114575,0.0003389355782675,203.4,36,5,203.4,r-reservoir_sl8_st4_bu500_re0.5
smd,vgru,ewc,8,4,B3,,,,,1000.0,,,-0.0005100301216865,0.0001778002857928,0.0005100301216865,0.69702364156964,0.6965235763845365,0.7665963787582915,5,10,10,0.7494,0.7364,0.6356,0.7659,0.5977,0.7496,0.7358,0.6337,0.7658,0.5977,0.0003097000460007,0.0004678771433676,0.0002126721692698,0.0002552049740978,153.1,34,5,153.1,r-ewc_sl8_st4_la1000
smd,vgru,lwf,8,4,B3,,,,,,1.0,2.0,-0.0002303264190823,-7.901557475282761e-05,0.0002303264190823,0.6967762504696958,0.6966229403653617,0.7659307982211179,5,10,10,0.7494,0.7364,0.6345,0.7658,0.5977,0.7498,0.7358,0.6339,0.7659,0.5977,1.1149336258179969e-06,0.0004690076062369,0.0002131857858201,0.0002558218204167,153.5,34,5,153.5,r-lwf_sl8_st4_al1.0_te2.0
smd,vgru,naive,12,6,B3,,,,,,,,0.0006940218409539,-0.0015359212440471,-0.0006940218409539,0.695908316441242,0.6972143959796286,0.7675248296646365,5,10,10,0.7497,0.7379,0.6302,0.7643,0.5974,0.7501,0.7363,0.6347,0.7675,0.5974,0.000255298557268,0.0003856904809118,0.0001753141693867,0.000210376311525,126.2,34,5,126.2,r-naive_sl12_st6
smd,vgru,cumulative,12,6,B3,,,,,,,,-0.0003162720084198,-0.0012973906732818,0.0003162720084198,0.6967543226788921,0.6965424743532667,0.7660573069359227,5,10,10,0.7497,0.7362,0.6341,0.7661,0.5978,0.7497,0.7359,0.6337,0.7657,0.5978,0.0008101502233488,0.0012239286919517,0.0005563329291077,0.000667595762844,400.6,47,5,400.6,r-cumulative_sl12_st6
smd,vgru,experts,12,6,B3,,,,,,,,-0.0022680657169761,-0.0005058250562871,0.0022680657169761,0.6980233407338703,0.695413170244583,0.7691631520052933,5,10,10,0.7497,0.7379,0.6372,0.7692,0.5962,0.7489,0.7339,0.6334,0.7647,0.5962,0.0003267019792106,0.0004935626931267,0.0002243473489594,0.0002692153441673,161.5,44,5,161.4,r-experts_sl12_st6
smd,vgru,random-buffer,12,6,B3,500.0,,,0.5,,,,-0.0358141228711773,-0.0039188676241474,0.0358141228711773,0.7183909680454059,0.695439115956884,0.7846601409572407,5,10,10,0.7497,0.7237,0.7262,0.7847,0.6078,0.7455,0.7437,0.6166,0.7636,0.6078,1.7062427275344915e-06,0.0007177474952493,0.0003262499671914,0.0003914975280578,234.9,41,5,234.9,r-random-buffer_sl12_st6_bu500_re0.5
smd,vgru,reservoir,12,6,B3,500.0,,,0.5,,,,3.642903470713055e-05,-0.0015217062251189,-3.642903470713055e-05,0.6961987809079674,0.6960409606059661,0.768124641897846,5,10,10,0.7497,0.7368,0.633,0.7649,0.5967,0.7501,0.7374,0.6279,0.7681,0.5967,0.0004243495091969,0.0006410830050442,0.000291402130671,0.0003496808743732,209.8,35,5,209.9,r-reservoir_sl12_st6_bu500_re0.5
smd,vgru,ewc,12,6,B3,,,,,1000.0,,,0.000918551380536,-0.0014167276069083,-0.000918551380536,0.6959020310282427,0.6973463822539968,0.7672107553833603,5,10,10,0.7497,0.7378,0.629,0.7648,0.5983,0.7503,0.7367,0.6342,0.7672,0.5983,0.0002407296823865,0.0003636806567297,0.0001653097799215,0.0001983708768081,119.0,34,5,119.1,r-ewc_sl12_st6_la1000
smd,vgru,lwf,12,6,B3,,,,,,1.0,2.0,-0.0004492077167789,-0.0022109194595598,0.0004492077167789,0.6961902657319332,0.6963102822620353,0.765962745221423,5,10,10,0.7497,0.7382,0.6311,0.7648,0.5972,0.7495,0.7358,0.6331,0.766,0.5972,0.0002382546644443,0.0003599415409643,0.0001636101757557,0.0001963313652086,117.8,34,5,117.8,r-lwf_sl12_st6_al1.0_te2.0
