model,regime,run_id,n_concepts,fwt_lopez_paz
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.18326596921571184
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.1833853309622796
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.18331995296732537
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.1832749088495894
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.18338193188811672
vlstm,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.18381693351481554
vlstm,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.18478529488904716
vlstm,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.18365152956272424
vlstm,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.18218535950297993
vlstm-kl,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.15858731303626616
vlstm-kl,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.17489780036239463
vlstm-kl,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.17315624374332664
vlstm-kl,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.16960707621342294
vlstm-kl,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.17546529865792404
vlstm-kl,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.17308924711962126
vlstm-kl,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.18488768608023473
vlstm-kl,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.16290157757391371
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.17630549972056173
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.16069655247991183
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.17989882619757255
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.16692458671221533
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.16568595784044882
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.16281565249701738
vlstm-kl,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.16156521963021553
vlstm-kl,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.18155049699228504
vlstm-kl,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.18586662989433556
vlstm-kl,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.1831889990227299
vtcn,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.18231926391732745
vtcn,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.18470027599995653
vtcn,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.1821081589428691
vtcn,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.18310147409044553
vtcn,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.1808097253237643
vtcn,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.18274344519611427
vtcn,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.18199395514528524
vtcn,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.18182550708211154
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.18392206002909234
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.18492952602746973
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.18439651103961016
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.18469136145288112
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.18323593419285872
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.18252308669932465
vtcn,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.18411092445118207
vtcn,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.18543751939677341
vtcn,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.18491756219142852
vtcn,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.18149763038930578
vtcn-kl,derpp,r-derpp_sl10_st10_bu500_re0.5_al0.5_te0.5,5,0.17058532142470817
vtcn-kl,derpp,r-derpp_sl12_st12_bu500_re0.5_al0.5_te0.5,5,0.18062847827987666
vtcn-kl,derpp,r-derpp_sl16_st16_bu500_re0.5_al0.5_te0.5,5,0.16618175216987102
vtcn-kl,derpp,r-derpp_sl24_st12_bu1000_re0.5_al0.5_te0.5,5,0.14952732054876053
vtcn-kl,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,5,0.15985396840361799
vtcn-kl,derpp,r-derpp_sl24_st12_bu2000_re0.5_al0.5_te0.5,5,0.1608773996064133
vtcn-kl,derpp,r-derpp_sl24_st12_bu250_re0.5_al0.5_te0.5,5,0.17124855207021444
vtcn-kl,derpp,r-derpp_sl24_st12_bu4000_re0.5_al0.5_te0.5,5,0.16247955787232976
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.3_al0.5_te0.5,5,0.1779432159546672
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.1_te0.5,5,0.15893056218901577
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.1,5,0.16825429118692392
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te0.5,5,0.15823610041657613
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al0.5_te1.0,5,0.16499899719378702
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.5_al1.0_te0.5,5,0.1706835479034454
vtcn-kl,derpp,r-derpp_sl24_st12_bu500_re0.7_al0.5_te0.5,5,0.15031425132637802
vtcn-kl,derpp,r-derpp_sl48_st48_bu500_re0.5_al0.5_te0.5,5,0.16047063750247023
vtcn-kl,derpp,r-derpp_sl6_st6_bu500_re0.5_al0.5_te0.5,5,0.16735036655493793
vtcn-kl,derpp,r-derpp_sl8_st8_bu500_re0.5_al0.5_te0.5,5,0.17172199215575035
gru,ewc,r-ewc_sl10_st10_la1000,5,0.15572688501999193
gru,ewc,r-ewc_sl12_st12_la1000,5,0.16131277763574484
gru,ewc,r-ewc_sl12_st6_la1000,5,0.1457519853966729
gru,ewc,r-ewc_sl16_st16_la1000,5,0.1394382925758167
gru,ewc,r-ewc_sl24_st12_la100,5,0.10725774704033056
gru,ewc,r-ewc_sl24_st12_la1000,5,0.10600514364548455
gru,ewc,r-ewc_sl24_st12_la10000,5,0.12491735744932603
gru,ewc,r-ewc_sl24_st12_la500,5,0.10639509107819103
gru,ewc,r-ewc_sl24_st12_la5000,5,0.1229592327295167
gru,ewc,r-ewc_sl48_st24_la1000,5,0.15752875302790914
gru,ewc,r-ewc_sl48_st48_la1000,5,0.10978175884763267
gru,ewc,r-ewc_sl6_st6_la1000,5,0.1323866941065961
gru,ewc,r-ewc_sl8_st4_la1000,5,0.15972936553251738
gru,ewc,r-ewc_sl8_st8_la1000,5,0.1294435189656242
