dataset,model,regime,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,final_c0,final_c1,final_c2,final_c3,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
yahoo-a1,lstm,naive,12,12,336,,,,,,,,MULTISEED,7,-0.1870306517411547,-0.0938384128118059,0.1870306517411547,0.7342722940241148,0.6009362758750981,0.8925848505443863,4,6,6,0.8574,0.8267,0.6087,0.6443,0.3685,0.8325,0.5584,0.6443,6.07716785045076e-05,9.181038137874566e-05,4.1732129572968314e-05,5.007825180577735e-05,30.0,44,4,30.1,r-naive_sl12_st12_sp336_seed7
yahoo-a1,lstm,random-buffer,6,6,336,50.0,,,0.5,,,,MULTISEED,123,-0.10616131369388883,-0.05096720573552447,0.10616131369388883,0.7908266506401516,0.720938381873923,0.9011560590251901,4,6,6,0.8868,0.8849,0.774,0.6176,0.6423,0.8655,0.7583,0.6176,0.0001538561548073,0.0002324370923748,0.0001056534971647,0.00012678359521,76.1,77,4,76.1,r-random-buffer_sl6_st6_sp336_bu50_re0.5_seed123
yahoo-a1,lstm,random-buffer,6,6,336,50.0,,,0.5,,,,MULTISEED,7,-0.1507283894791893,-0.07092137490447879,0.1507283894791893,0.7661695877436876,0.6784683206015101,0.8843697809215051,4,6,6,0.8548,0.8844,0.7118,0.6137,0.5378,0.8718,0.6906,0.6137,0.0001492785711334,0.0002255215403737,0.0001025101064833,0.0001230114338903,73.8,72,4,73.8,r-random-buffer_sl6_st6_sp336_bu50_re0.5_seed7
yahoo-a1,lstm,reservoir,6,6,336,50.0,,,0.5,,,,MULTISEED,123,-0.14734997039092837,-0.07207505149250155,0.14734997039092837,0.77749349380389,0.6962810172256901,0.9011560590251901,4,6,6,0.8868,0.8675,0.7325,0.6231,0.5705,0.8711,0.7204,0.6231,0.000125308493188,0.0001893089154801,8.604972922670035e-05,0.0001032591862534,62.0,63,4,62.0,r-reservoir_sl6_st6_sp336_bu50_re0.5_seed123
yahoo-a1,lstm,reservoir,6,6,336,50.0,,,0.5,,,,MULTISEED,7,-0.16841115215822722,-0.08136058643507192,0.16841115215822722,0.7592793438229134,0.6582144785297426,0.8823973766582203,4,6,6,0.8548,0.8606,0.7158,0.6058,0.5043,0.8589,0.6638,0.6058,0.0001145664306557,0.0001730804208563,7.867311342528815e-05,9.44073074311018e-05,56.6,55,4,56.7,r-reservoir_sl6_st6_sp336_bu50_re0.5_seed7
yahoo-a1,lstm,strb,6,6,336,50.0,0.2,0.9,0.5,,,,MULTISEED,123,-0.15166021888524575,-0.06931273172452962,0.15166021888524575,0.7768908135633683,0.670146943029308,0.9011560590251901,4,6,6,0.8868,0.873,0.7328,0.615,0.5216,0.8707,0.6733,0.615,0.0001256969135066,0.0001898957187157,8.631646267474732e-05,0.0001035792560409,62.1,63,4,62.2,r-strb_sl6_st6_sp336_bu50_no0.2_re0.9_re0.5_seed123
yahoo-a1,lstm,strb,6,6,336,50.0,0.2,0.9,0.5,,,,MULTISEED,7,-0.2078750269498647,-0.0873555717423593,0.20787502694986468,0.7523841216026446,0.611301126818142,0.8844664873759702,4,6,6,0.8548,0.8845,0.6563,0.6139,0.3918,0.8579,0.5815,0.6139,0.0001266346054414,0.0001913123301417,8.696039618161092e-05,0.0001043519339601,62.6,61,4,62.6,r-strb_sl6_st6_sp336_bu50_no0.2_re0.9_re0.5_seed7
yahoo-a1,tcn,cumulative,16,16,336,,,,,,,,MULTISEED,123,-0.21954371733051994,-0.10953509623248135,0.21954371733051992,0.7063669347326433,0.544551290717199,0.8754085356179597,4,6,6,0.7884,0.8646,0.556,0.6164,0.2848,0.8225,0.4545,0.6164,4.540819130275545e-05,6.860010228145662e-05,3.118196533630706e-05,3.741813694514955e-05,22.5,100,4,22.5,r-cumulative_sl16_st16_sp336_seed123
yahoo-a1,tcn,cumulative,16,16,336,,,,,,,,MULTISEED,7,-0.18076199469807838,-0.06501106902633945,0.18076199469807838,0.6888434719668788,0.6011291018040377,0.8926957858895032,4,6,6,0.7051,0.8907,0.4959,0.6637,0.3551,0.855,0.5307,0.6637,4.1232400334047624e-05,6.22915557540384e-05,2.831445908652515e-05,3.397709666751325e-05,20.4,85,4,20.4,r-cumulative_sl16_st16_sp336_seed7
yahoo-a1,tcn,derpp,6,6,336,50.0,,,0.5,,0.5,0.5,MULTISEED,123,-0.14497293269959946,-0.08578740574975081,0.14497293269959946,0.8000328926697937,0.6951258805409168,0.9442701867288251,4,6,6,0.9443,0.8632,0.7722,0.6205,0.5777,0.8464,0.7359,0.6205,7.150816960759889e-05,0.0001080304590053,4.910490428252767e-05,5.8925554722857976e-05,35.4,56,4,35.4,r-derpp_sl6_st6_sp336_bu50_re0.5_al0.5_te0.5_seed123
yahoo-a1,tcn,derpp,6,6,336,50.0,,,0.5,,0.5,0.5,MULTISEED,7,-0.11677336611075056,-0.06543266910648467,0.11677336611075056,0.7456627826169724,0.6520647466872436,0.8680804888955135,4,6,6,0.8236,0.8511,0.7443,0.5636,0.5158,0.8304,0.6984,0.5636,5.693893698994903e-05,8.60200943760315e-05,3.910014826429284e-05,4.691994611173868e-05,28.2,47,4,28.2,r-derpp_sl6_st6_sp336_bu50_re0.5_al0.5_te0.5_seed7
